"MacBook Pro 14, M2 Pro/16GB/512GB серый",199990,https://www.avito.ru/sankt-peterburg/noutbuki/macbook_pro_14_m2_pro16gb512gb_seryy_2743471982,-,-,no,-
Ультрабук Dell Core i5 256 512 Gb,14400,https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_dell_core_i5_256_512_gb_3438823580,-,-,no,-
Игровой Мощный Ноутбук,18500,https://www.avito.ru/sankt-peterburg/noutbuki/igrovoy_moschnyy_noutbuk_4125925443,-,-,no,-
Игровой ноутбук 1660ti I7-9750 120Hz 16Gb,40000,https://www.avito.ru/sankt-peterburg/noutbuki/igrovoy_noutbuk_1660ti_i7-9750_120hz_16gb_3903569714,-,-,no,-
MacBook Air,24900,https://www.avito.ru/sankt-peterburg/noutbuki/macbook_air_3177937940,-,-,no,-
Ноутбук для работы,4900,https://www.avito.ru/sankt-peterburg/noutbuki/noutbuk_dlya_raboty_3935065395,-,-,no,-
Игровой ноутбук Lenovo Ideapad Gaming GTX RTX,14490,https://www.avito.ru/sankt-peterburg/noutbuki/igrovoy_noutbuk_lenovo_ideapad_gaming_gtx_rtx_3982921950,-,-,no,-
Ультрабук Huawei Matebook D 15 / Core i5 / SSD,20490,https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_huawei_matebook_d_15_core_i5_ssd_4282180696,-,-,no,-
Защищенный Getac v110 G4 i7-7 LTE GPS,49990,https://www.avito.ru/sankt-peterburg/noutbuki/zaschischennyy_getac_v110_g4_i7-7_lte_gps_3785408607,-,-,no,-
Мощный тонкий ноутбук с гарантией,5000,https://www.avito.ru/sankt-peterburg/noutbuki/moschnyy_tonkiy_noutbuk_s_garantiey_4129014401,-,-,no,-
Ноутбук для работы,5000,https://www.avito.ru/sankt-peterburg/noutbuki/noutbuk_dlya_raboty_4004944763,-,-,no,-
Acer Nitro i5-10300h/16gb/RTX 3060 6gb,57000,https://www.avito.ru/sankt-peterburg/noutbuki/acer_nitro_i5-10300h16gbrtx_3060_6gb_4108269124,-,-,no,-
Игровой ноутбук Aorus 15 / RTX 3060 / Core i7,55900,https://www.avito.ru/sankt-peterburg/noutbuki/igrovoy_noutbuk_aorus_15_rtx_3060_core_i7_4251032944,-,-,no,-
Игровой Ноутбук MSI Katana 17 / RTX 4060 / Core i5,76900,https://www.avito.ru/sankt-peterburg/noutbuki/igrovoy_noutbuk_msi_katana_17_rtx_4060_core_i5_4251111475,-,-,no,-
Ноутбук MSI / Core i7 / GTX 1060 / SSD 512Gb,29900,https://www.avito.ru/sankt-peterburg/noutbuki/noutbuk_msi_core_i7_gtx_1060_ssd_512gb_3879067066,-,-,no,-
Ноутбук для работы и игр,17900,https://www.avito.ru/sankt-peterburg/noutbuki/noutbuk_dlya_raboty_i_igr_3908982730,-,-,no,-
Ноутбук MacBook,19900,https://www.avito.ru/sankt-peterburg/noutbuki/noutbuk_macbook_3786245334,-,-,no,-
Ноутбук рабочий,4500,https://www.avito.ru/sankt-peterburg/noutbuki/noutbuk_rabochiy_4101128099,-,-,no,-
Ноутбуки Б/У для любых задач i3 i5 i7 ryzen 3 5 7,11900,https://www.avito.ru/sankt-peterburg/noutbuki/noutbuki_bu_dlya_lyubyh_zadach_i3_i5_i7_ryzen_3_5_7_2636801898,-,-,no,-
Apple MacBook Pro 16 M3 Pro 18/512Gb Space Black,234990,https://www.avito.ru/sankt-peterburg/noutbuki/apple_macbook_pro_16_m3_pro_18512gb_space_black_3758744221,-,-,no,-
Ноутбук для работы и учебы,5000,https://www.avito.ru/sankt-peterburg/noutbuki/noutbuk_dlya_raboty_i_ucheby_4040786336,-,-,no,-
Macbook air 13 2015,25000,https://www.avito.ru/sankt-peterburg/noutbuki/macbook_air_13_2015_4112935207,-,-,no,-
Ноутбук для дома и работы,5000,https://www.avito.ru/sankt-peterburg/noutbuki/noutbuk_dlya_doma_i_raboty_4101539056,-,-,no,-
Apple MacBook Pro 16 M3 Pro 18/512Gb Space Black,234990,https://www.avito.ru/sankt-peterburg/noutbuki/apple_macbook_pro_16_m3_pro_18512gb_space_black_3758744221,-,-,no,-
Игровой ноутбук 1660ti I7-9750 120Hz 16Gb,40000,https://www.avito.ru/sankt-peterburg/noutbuki/igrovoy_noutbuk_1660ti_i7-9750_120hz_16gb_3903569714,-,-,no,-
Ноутбук MSI Katana / RTX 3060 / Core i7 / 512 Gb,49900,https://www.avito.ru/sankt-peterburg/noutbuki/noutbuk_msi_katana_rtx_3060_core_i7_512_gb_3528993672,-,-,no,-
Игровой ноутбук MSI sword в рассрочку,24465,https://www.avito.ru/sankt-peterburg/noutbuki/igrovoy_noutbuk_msi_sword_v_rassrochku_3791166384,-,-,no,-
